year,quarter,sum_kg,sum_m2,count_kelp,count_cloud_free,count
1984,1,,,0,0,34179
1984,2,21033328,3239755,10249,33863,34179
1984,3,,,0,0,34179
1984,4,10454507,1843996,12002,34178,34179
1985,1,20205164,3497240,13395,34179,34179
1985,2,52519197,8507553,15323,33174,34179
1985,3,3761363,683640,2603,33772,34179
1985,4,237440,46211,238,33964,34179
1986,1,2870206,514260,3990,34152,34179
1986,2,482188,89485,706,34178,34179
1986,3,5729193,954427,2565,31005,34179
1986,4,2867259,493159,2336,34179,34179
1987,1,2431612,430978,2469,34178,34179
1987,2,3642412,608802,1604,34069,34179
1987,3,9792885,1574620,3739,33875,34179
1987,4,1210259,212894,1680,34175,34179
1988,1,260420,47780,580,34179,34179
1988,2,1460529,253832,733,33757,34179
1988,3,10939405,1812008,5756,34093,34179
1988,4,7591872,1384443,6483,33577,34179
1989,1,8761574,1566514,8832,34177,34179
1989,2,3264609,563893,2537,33785,34179
1989,3,2731233,479443,3016,34034,34179
1989,4,8675831,1545346,8465,34179,34179
1990,1,4850758,869922,6014,34179,34179
1990,2,38373495,6338432,15007,34040,34179
1990,3,13541387,2353665,8844,33948,34179
1990,4,2744980,501817,2101,33469,34179
1991,1,,,0,0,34179
1991,2,42217965,6510108,19684,34051,34179
1991,3,19498939,3403611,10328,33862,34179
1991,4,2168621,409875,1886,33842,34179
1992,1,816894,141644,409,28183,34179
1992,2,13051741,2268590,6563,33993,34179
1992,3,1824622,316301,905,24651,34179
1992,4,3407893,611748,5005,34179,34179
1993,1,2076513,379161,1808,34147,34179
1993,2,9582656,1658162,9536,34038,34179
1993,3,1936143,325151,738,15652,34179
1993,4,1116795,206382,2164,34179,34179
1994,1,1421899,263860,2750,34179,34179
1994,2,38352017,6138503,17341,34102,34179
1994,3,4122900,688364,2077,8774,34179
1994,4,1070196,192716,1686,34166,34179
1995,1,190172,35655,158,33947,34179
1995,2,441795,74765,726,34136,34179
1995,3,1484005,251617,1138,33888,34179
1995,4,4233790,691814,1819,34170,34179
1996,1,349693,65432,479,34128,34179
1996,2,2949487,488021,2715,34179,34179
1996,3,2414055,393647,950,16298,34179
1996,4,2695089,494866,3096,34167,34179
1997,1,3465293,626932,4183,34179,34179
1997,2,8137361,1380495,6546,34124,34179
1997,3,3982969,698626,2640,33796,34179
1997,4,9379,1910,23,34146,34179
1998,1,177659,29031,530,34179,34179
1998,2,1767795,300587,1820,34170,34179
1998,3,3921970,643995,2183,33944,34179
1998,4,1693593,305734,2226,34178,34179
1999,1,5841813,1016519,5814,34179,34179
1999,2,9540696,1547037,3276,33528,34179
1999,3,18690256,2887393,7743,34176,34179
1999,4,1755705,309689,5074,34179,34179
2000,1,106518,13284,97,34179,34179
2000,2,963027,160392,1021,34178,34179
2000,3,1838014,310924,1607,34179,34179
2000,4,699460,123657,1390,34179,34179
2001,1,325712,53046,290,34179,34179
2001,2,723796,122951,825,34171,34179
2001,3,2490576,419837,1980,34160,34179
2001,4,2808204,489120,3084,34179,34179
2002,1,2836693,511178,3037,34179,34179
2002,2,12517362,2016404,6831,34179,34179
2002,3,17850912,2868979,7617,33551,34179
2002,4,7031630,1217771,8500,34179,34179
2003,1,825927,156838,2713,34179,34179
2003,2,13382197,2224545,7887,34179,34179
2003,3,67067777,9498838,16820,34173,34179
2003,4,21032194,3612169,17623,34179,34179
2004,1,4021222,761126,8774,34179,34179
2004,2,14027182,2340818,13129,34177,34179
2004,3,44898793,7216349,19777,34172,34179
2004,4,11008307,1985230,15831,34179,34179
2005,1,6776233,1238995,8449,34178,34179
2005,2,27273883,4531432,18249,34179,34179
2005,3,44539046,7436134,23053,34179,34179
2005,4,11507626,2088980,15677,34179,34179
2006,1,1950456,356131,2915,34179,34179
2006,2,5000867,863650,5231,34179,34179
2006,3,13806018,2203077,5008,34144,34179
2006,4,14776817,2575484,14565,34179,34179
2007,1,21761859,3765511,19157,34179,34179
2007,2,36499507,5998350,20500,34178,34179
2007,3,14306425,2347801,12805,34179,34179
2007,4,1283681,234755,1587,34179,34179
2008,1,231316,41506,601,34179,34179
2008,2,9271078,1445497,7418,34179,34179
2008,3,42843341,6421339,14768,34176,34179
2008,4,18901278,3272280,14586,34179,34179
2009,1,7359920,1329206,11950,34179,34179
2009,2,4408256,746443,3471,33224,34179
2009,3,3117796,542934,5866,34179,34179
2009,4,538151,104923,1914,34179,34179
2010,1,1383398,249085,2663,34179,34179
2010,2,4066153,695354,3671,34177,34179
2010,3,29150484,4726869,14624,34177,34179
2010,4,4638858,798866,6023,34179,34179
2011,1,166990,27726,332,34179,34179
2011,2,1820006,304401,3102,34179,34179
2011,3,13910079,2258013,8405,34174,34179
2011,4,8218799,1421578,7697,34179,34179
2012,1,2865406,513970,3565,34179,34179
2012,2,6642802,1122738,5642,34178,34179
2012,3,6178889,1064296,4865,34061,34179
2012,4,1220106,229127,2938,34179,34179
2013,1,4133572,753128,4703,34179,34179
2013,2,28934828,4788771,17790,34176,34179
2013,3,22794877,3693051,12992,34179,34179
2013,4,2979280,540523,6782,34179,34179
2014,1,838381,155349,1691,34179,34179
2014,2,1923496,329653,2971,34176,34179
2014,3,3332745,571136,3385,34176,34179
2014,4,374036,68454,1422,34179,34179
2015,1,400449,72025,851,34179,34179
2015,2,5670589,952925,5551,34179,34179
2015,3,7379839,1184677,6284,34178,34179
2015,4,74525,13491,294,34179,34179
2016,1,1824784,327013,2361,34178,34179
2016,2,6878845,1164269,6074,34179,34179
2016,3,6438215,1111304,6840,34177,34179
2016,4,1239365,220277,2133,34177,34179
2017,1,115405,21721,159,34175,34179
2017,2,5961455,922887,3705,34176,34179
2017,3,14869762,2182373,4558,34161,34179
2017,4,2553931,436291,3100,34179,34179
2018,1,425998,72538,911,34179,34179
2018,2,6579105,1072259,4190,34177,34179
2018,3,8727559,1345945,4603,34179,34179
2018,4,122293,22284,531,34179,34179
2019,1,98890,15451,125,34179,34179
2019,2,751394,124601,597,34166,34179
2019,3,6837751,731047,3487,34179,34179
2019,4,1533654,261436,1560,34179,34179
2020,1,1098450,190353,1616,34179,34179
2020,2,7121955,1097215,2831,34179,34179
2020,3,9054574,1400921,3560,34178,34179
2020,4,,,0,0,34179
